title,content,author,community,upvotes,downvotes,commentCount,createdAt,postType,linkURL,thumbnailURL
"AI sẽ thay thế lập trình viên trong 5 năm tới?","Một bài phân tích sâu sắc về tương lai của ngành phần mềm dưới sự bùng nổ của AI.","user_16","Data Science & AI Vietnam",340,150,89,"2024-03-31T09:45:00Z","text",,
"Cheat sheet Python cho xử lý dữ liệu",,"user_17","Data Science & AI Vietnam",85,2,11,"2024-03-31T14:10:00Z","image",,"https://imgur.com/data-python.png"
"Kinh nghiệm làm việc với khách hàng khó tính","Cách xử lý khi khách đòi sửa giao diện lần thứ n mà không trả thêm tiền.","user_03","Freelancer Chuyên Nghiệp VN",95,1,28,"2024-03-31T16:20:00Z","text",,
"Portfolio mẫu cho UI/UX Designer mới ra trường",,"user_04","Thiết Kế Đồ Họa Cao Cấp",130,5,33,"2024-04-01T08:00:00Z","link","https://behance.net/best-portfolios",
"Tương lai của Bitcoin sau Halving 2024","Liệu lịch sử có lặp lại với những đỉnh cao mới hay sẽ là một cú sập hầm?","user_18","Blockchain & Web3 Việt Nam",205,30,56,"2024-04-01T13:45:00Z","text",,
"Lỗi bảo mật nghiêm trọng trong thư viện X","Cảnh báo cho anh em đang dùng thư viện X bản 2.1.0, cần update ngay lập tức!","user_19","Cộng Đồng Lập Trình Việt",412,8,67,"2024-04-02T07:15:00Z","text",,
"Học Figma qua video thực chiến",,"user_20","Thiết Kế Đồ Họa Cao Cấp",45,3,12,"2024-04-02T10:30:00Z","video","https://youtube.com/figma-tutorial",
"","Bài viết này không có tiêu đề để test lỗi giao diện.","user_99","Cộng Đồng Lập Trình Việt",0,0,0,"2024-04-02T11:00:00Z","text",,
"Bài viết có tiêu đề cực kỳ dài để kiểm tra khả năng hiển thị của UI trên các thiết bị di động và desktop xem có bị vỡ layout không","Nội dung ngắn.","user_21","Freelancer Chuyên Nghiệp VN",5,0,1,"2024-04-02T14:00:00Z","text",,
"Dùng Tool gì để quản lý Task hiệu quả?","Mọi người thường dùng Jira, Trello hay Notion ạ?","user_22","Cộng Đồng Lập Trình Việt",18,2,40,"2024-04-02T15:20:00Z","text",,
"Template hợp đồng Freelance chuẩn pháp lý",,"user_07","Freelancer Chuyên Nghiệp VN",250,4,95,"2024-04-02T19:00:00Z","link","https://drive.google.com/contract-template",
"Sự khác biệt giữa Junior và Senior là gì?","Không chỉ là số năm kinh nghiệm, mà là tư duy giải quyết vấn đề.","user_01","Cộng Đồng Lập Trình Việt",180,6,44,"2024-04-03T08:00:00Z","text",,
